DateTime,AddedIPs,RemovedIPs
1613377482,27,22
1613384685,32,42
1613391972,30,13
1613399085,21,27
1613401961,5,24
1613406282,26,0
1613413245,35,29
1613418284,5,19
1613420438,22,0
1613427644,33,37
1613435083,27,18
1613442281,37,52
1613449721,72,69
1613456684,39,42
1613464103,26,22
1613471285,37,23
1613478522,34,25
1613479972,3,25
1613485722,26,0
1613487892,6,20
1613492962,26,0
1613493646,4,0
1613495096,0,33
1613500844,30,0
1613501579,3,0
1613503016,0,36
1613507052,26,0
1613508488,2,31
1613510649,3,0
1613515026,28,0
1613522444,24,29
1613523164,8,0
1613525107,0,72
1613529405,43,0
1613536865,54,54
1613544048,41,30
1613546924,6,23
1613551411,17,0
1613553645,13,61
1613558703,20,0
1613565170,14,29
1613565901,31,0
1613570209,10,31
1613572607,23,0
1613578365,11,32
1613580520,25,0
1613582687,10,28
1613587721,25,0
1613590604,9,31
1613594204,20,0
1613595651,0,44
1613597803,16,0
1613602123,23,0
1613609320,19,32
1613616523,52,75
1613623724,59,58
1613630686,35,18
1613638129,31,21
1613645049,28,17
1613652725,33,24
1613658488,31,29
1613659926,2,0
1613666682,30,23
1613667901,5,0
1613669319,2,22
1613672938,24,0
1613674370,4,0
1613675092,8,0
1613676524,0,29
1613681080,30,0
1613681833,4,0
1613683240,0,39
1613687083,21,0
1613688555,7,0
1613693799,0,17
1613694520,21,0
1613695967,5,0
1613702212,31,9
1613702930,23,0
1613705048,0,39
1613708649,50,0
1613712969,10,90
1613715848,23,0
1613719448,7,0
1613723065,22,1
1613724490,0,55
1613725224,12,0
1613729528,0,9
1613730250,0,7
1613730967,19,0
1613732671,10,0
1613734326,0,13
1613735766,0,1
1613739392,39,7
1613740335,4,20
1613745612,25,1
1613746326,0,11
1613747074,0,23
1613749206,10,1
1613751372,0,5
1613752854,18,0
1613756406,11,24
1613760728,33,0
1613762168,10,13
1613762891,0,11
1613764354,0,3
1613766734,0,8
1613767452,30,0
1613769846,5,17
1613772735,0,1
1613774171,20,0
1613775861,9,14
1613779061,0,36
1613781129,0,47
1613781880,19,0
1613784247,9,0
1613787714,0,77
1613789799,50,0
1613792569,22,0
1613793415,0,38
1613796313,37,0
1613799369,18,0
1613801527,0,18
1613804417,26,0
1613809450,6,23
1613810208,27,0
1613813324,3,0
1613816921,0,20
1613818363,36,0
1613820524,8,0
1613822691,0,32
1613825565,24,0
1613828452,12,0
1613830601,0,25
1613833492,32,0
1613834444,12,0
1613839736,26,0
1613841165,0,4
1613842602,8,29
1613846923,29,0
1613848364,15,4
1613850523,0,25
1613852681,0,27
1613854143,33,0
1613858448,9,0
1613859884,0,25
1613861320,25,0
1613862777,4,0
1613867653,0,35
1613869930,29,0
1613871524,2,0
1613873798,0,59
1613875925,51,0
1613877398,13,0
1613881011,0,37
1613883071,46,0
1613884600,10,0
1613887732,0,24
1613889851,25,0
1613892727,9,0
1613897563,23,16
1613899029,6,0
1613903322,0,22
1613905750,29,0
1613907164,9,0
1613910770,0,20
1613911730,16,0
1613914119,7,0
1613917030,0,29
1613919159,20,0
1613920571,6,0
1613926360,9,18
1613927813,26,0
1613931401,1,0
1613934522,22,44
1613935238,14,0
1613936682,11,0
1613939081,0,30
1613939805,20,0
1613941256,14,0
1613943403,5,0
1613945564,0,32
1613950151,37,0
1613954004,3,43
1613957806,41,0
1613959961,1,0
1613961647,0,68
1613963802,56,0
1613966693,9,0
1613968125,0,47
1613971003,45,0
1613971724,12,0
1613975566,0,24
1613977722,24,0
1613979163,2,0
1613983487,0,27
1613985641,18,0
1613987084,2,0
1613990684,0,27
1613992123,22,0
1613997888,0,35
1614000765,54,0
1614006764,27,0
1614007487,4,21
1614011083,0,25
1614014887,29,0
1614015634,4,0
1614022326,35,0
1614024766,2,24
1614025479,0,34
1614029115,25,0
1614030521,7,0
1614032680,0,32
1614035798,17,0
1614036522,3,0
1614039884,0,40
1614044202,32,0
1614051135,64,75
1614058402,45,38
1614065800,34,25
1614072999,27,21
1614080200,30,28
1614087405,25,3
1614094600,23,30
1614101819,31,35
1614109480,23,42
1614116224,22,32
1614123404,21,71
1614130843,27,48
1614138043,77,69
1614145484,47,35
1614152931,30,0
1614160127,21,44
1614166851,19,9
1614174044,26,17
1614181247,29,34
1614189169,37,30
1614196370,47,32
1614203091,34,35
1614210287,15,49
1614217724,26,55
1614224922,76,62
1614232129,32,29
1614239323,22,15
1614246765,40,22
1614253966,19,18
1614261166,25,25
1614268364,31,18
1614275562,23,25
1614282762,27,22
1614289966,24,26
1614297892,22,25
1614305102,18,51
1614305801,17,34
1614310121,45,0
1614310839,31,0
1614312294,0,20
1614313001,0,46
1614315902,26,0
1614318760,17,8
1614320924,12,0
1614328838,28,26
1614336038,25,17
1614343242,29,58
1614350207,21,4
1614357403,34,23
1614365319,38,66
1614372524,43,42
1614379720,25,39
1614386919,18,14
1614394123,47,48
1614401319,66,67
1614408041,36,15
1614415245,22,29
1614422442,35,40
1614429647,35,35
1614437084,25,30
1614444287,38,11
1614451483,34,50
1614458929,28,11
1614466125,34,75
1614473323,21,20
1614480762,49,52
1614488202,53,71
1614495434,34,32
1614502604,18,7
1614509803,26,44
1614516526,17,25
1614523722,27,26
1614530928,29,6
1614538849,38,49
1614546289,35,61
1614553718,26,33
1614560483,23,9
1614567648,50,87
1614574857,57,2
1614582304,23,58
1614589494,37,34
1614597406,26,40
1614604125,23,137
1614611323,19,34
1614619239,20,27
1614625963,33,27
1614628856,4,0
1614633399,20,26
1614640838,21,39
1614647559,27,42
1614655205,57,76
1614662409,57,39
1614669882,29,27
1614677085,22,24
1614684287,33,16
1614691481,29,25
1614699445,32,65
1614706141,22,0
1614713533,40,25
1614720729,28,31
1614727931,23,29
1614735370,31,39
1614742851,70,126
1614750035,41,0
1614757241,38,33
1614764437,29,24
1614771881,15,41
1614779079,18,26
1614786560,19,36
1614793923,25,0
1614800650,36,31
1614808086,24,71
