DateTime,Entries,UniqueIPs
1614922324,1324,1341
1614924256,1307,1324
1614928328,1269,1285
1614930247,1258,1273
1614932197,1262,1277
1614934356,1269,1285
1614936249,1279,1295
1614940136,1253,1270
1614942284,1241,1258
1614944203,1240,1257
1614946068,1233,1248
1614948040,1228,1243
1614949972,1222,1235
1614951946,1220,1233
1614955686,1226,1239
1614957699,1239,1252
1614959637,1256,1268
1614961478,1245,1257
1614963955,1251,1264
1614965903,1272,1285
1614967938,1282,1295
1614969920,1283,1296
1614971908,1283,1296
1614973970,1276,1289
1614975855,1299,1313
1614977834,1303,1316
1614979739,1297,1311
1614982010,1277,1289
1614984100,1281,1293
1614985946,1310,1322
1614987875,1310,1323
1614989860,1318,1332
1614991703,1307,1322
1614993653,1315,1328
1614995594,1318,1331
1614997566,1323,1337
1614999428,1316,1331
1615001322,1319,1336
1615003685,1307,1326
1615005495,1298,1316
1615007780,1307,1326
1615009703,1327,1347
1615011526,1330,1350
1615013556,1363,1383
1615015449,1354,1374
1615019313,1316,1336
1615021249,1308,1325
1615023278,1292,1308
1615025387,1328,1346
1615027235,1322,1341
1615029448,1321,1337
1615031539,1318,1334
1615035396,1282,1299
1615037300,1286,1303
1615039712,1293,1311
1615041630,1318,1336
1615043963,1319,1336
1615045966,1311,1327
1615049766,1300,1314
1615051719,1314,1329
1615053863,1314,1329
1615058173,1299,1313
1615060116,1296,1310
1615062142,1298,1312
1615064202,1293,1306
1615068827,1227,1242
1615070702,1226,1240
1615073086,1219,1234
1615074999,1223,1237
1615077153,1221,1233
1615079317,1226,1239
1615081209,1210,1223
1615083128,1208,1222
1615087363,1181,1194
1615089416,1178,1191
1615093559,1143,1157
1615095451,1128,1139
1615097326,1109,1120
1615099241,1124,1136
1615101428,1133,1146
1615103351,1139,1152
1615105489,1167,1180
1615107400,1159,1172
1615109323,1156,1170
1615111395,1162,1176
1615113366,1152,1165
1615115190,1148,1161
1615117235,1144,1157
1615119050,1140,1152
1615121154,1157,1169
1615123069,1165,1177
1615124929,1175,1187
1615126858,1165,1177
1615128738,1167,1180
1615132581,1148,1161
1615134518,1166,1179
1615136431,1160,1172
1615138371,1148,1159
1615140420,1139,1149
1615142420,1157,1168
1615144441,1175,1186
1615146297,1164,1177
1615148497,1167,1180
1615150334,1168,1178
1615152304,1173,1184
1615154344,1196,1207
1615156162,1205,1217
1615160466,1188,1199
1615162362,1190,1201
1615164328,1197,1209
1615166241,1194,1206
1615168403,1209,1221
1615170499,1210,1221
1615172580,1239,1250
1615174860,1237,1247
1615178907,1241,1252
1615180895,1239,1250
1615182756,1256,1269
1615184645,1268,1281
1615186784,1270,1281
1615188802,1258,1269
1615191116,1262,1272
1615193079,1272,1281
1615194961,1277,1287
1615196893,1281,1291
1615199087,1285,1294
1615201037,1297,1307
1615202918,1302,1313
1615207221,1288,1302
1615209382,1292,1306
1615211538,1263,1276
1615213443,1275,1288
1615215372,1274,1286
1615217415,1301,1313
1615220085,1296,1308
1615224302,1288,1300
1615226194,1301,1314
1615228175,1298,1311
1615230397,1305,1316
1615233397,1301,1311
1615235286,1294,1305
1615239156,1270,1281
1615241057,1264,1277
1615242998,1256,1271
1615244921,1279,1294
1615246812,1303,1318
1615248732,1301,1317
1615250672,1313,1330
1615252575,1312,1331
1615254511,1315,1333
1615256410,1316,1335
1615258328,1323,1342
1615260275,1314,1332
1615264091,1312,1329
1615266073,1310,1327
1615267926,1310,1328
1615269856,1305,1317
1615271791,1282,1294
1615273701,1281,1293
1615275613,1277,1290
1615277554,1279,1293
1615279448,1313,1327
1615281381,1289,1302
1615283311,1292,1305
1615285206,1321,1334
1615287125,1331,1343
1615290981,1293,1305
1615292887,1324,1338
1615294842,1331,1343
1615296759,1322,1334
1615298686,1310,1322
1615300569,1286,1299
1615302488,1284,1298
1615306378,1281,1295
1615308276,1297,1312
1615310168,1325,1341
1615312090,1325,1341
1615314035,1320,1339
1615315925,1320,1337
1615319794,1316,1333
1615321689,1277,1293
1615323615,1304,1321
1615325555,1323,1340
1615327458,1292,1306
1615329367,1320,1334
1615331316,1316,1329
1615333209,1318,1332
1615335129,1328,1345
1615337078,1302,1317
1615338967,1318,1333
1615340886,1311,1326
1615342833,1285,1298
1615344730,1269,1282
1615346651,1295,1309
1615348598,1304,1319
1615350490,1326,1341
1615352690,1298,1313
1615354577,1301,1316
1615360332,1246,1259
1615362250,1253,1265
1615366087,1210,1221
1615369958,1160,1170
1615371847,1149,1160
1615373766,1140,1151
1615375717,1165,1176
1615377641,1180,1192
1615379532,1172,1187
1615381484,1169,1183
1615383371,1183,1198
1615385284,1175,1190
1615387262,1192,1206
1615389140,1183,1196
1615391049,1200,1214
1615392997,1201,1214
1615394885,1182,1194
1615396812,1178,1190
1615398760,1180,1192
1615400647,1181,1192
1615402584,1181,1193
1615404520,1204,1216
1615406433,1198,1208
1615408362,1206,1217
1615410255,1191,1201
1615412170,1198,1208
1615414121,1202,1212
1615416010,1202,1213
1615417927,1211,1223
1615419757,1208,1220
1615421679,1212,1224
1615423686,1225,1238
1615425606,1232,1246
1615427557,1244,1258
1615429446,1252,1269
1615431365,1268,1285
1615433320,1267,1285
1615435232,1268,1287
1615437126,1275,1296
1615439059,1289,1310
1615440967,1284,1305
1615442923,1291,1312
1615444807,1316,1337
1615446725,1339,1360
1615448679,1293,1314
1615450565,1334,1355
1615452486,1368,1389
1615454437,1361,1382
1615456326,1394,1415
1615458246,1393,1414
1615460196,1374,1393
1615462088,1403,1426
1615464020,1412,1433
1615465958,1377,1396
1615467861,1400,1419
1615469799,1366,1386
1615471692,1374,1393
1615473606,1389,1409
1615475559,1365,1384
1615477448,1382,1402
1615479366,1389,1412
1615481561,1378,1399
1615483460,1377,1398
1615485366,1369,1389
1615487321,1373,1393
1615489237,1378,1399
1615491126,1383,1407
1615493068,1381,1404
1615494998,1395,1418
1615496893,1401,1425
1615498818,1409,1434
1615500761,1410,1436
1615502654,1405,1429
1615506487,1389,1411
1615508419,1382,1404
1615510362,1371,1394
1615512251,1371,1394
1615514203,1367,1389
1615516606,1372,1391
1615518491,1363,1379
1615520411,1367,1383
1615522362,1365,1379
1615524265,1374,1389
1615526172,1379,1394
1615528120,1380,1396
1615530017,1372,1388
1615531931,1388,1406
1615533881,1396,1414
1615535767,1407,1425
1615537928,1382,1399
1615539857,1389,1406
1615541801,1382,1400
1615543691,1384,1403
1615545611,1379,1398
1615547563,1380,1399
1615549448,1364,1382
1615553319,1331,1347
1615555215,1330,1346
1615557126,1335,1352
1615559080,1332,1349
1615560967,1346,1364
1615562885,1364,1381
1615564850,1381,1396
1615566732,1375,1390
1615568899,1375,1390
1615570854,1356,1372
1615574661,1307,1323
1615576567,1304,1321
1615578522,1307,1324
1615580417,1296,1313
1615582326,1305,1320
1615584283,1288,1302
1615586166,1289,1303
1615588088,1296,1311
1615590054,1295,1310
1615591934,1320,1337
1615593857,1316,1333
1615595800,1324,1339
1615599609,1302,1316
1615601557,1305,1318
1615603450,1306,1318
1615605365,1310,1322
1615607317,1317,1330
1615609209,1323,1336
1615611126,1334,1344
1615613085,1322,1332
1615614967,1318,1328
1615616886,1329,1339
1615620732,1284,1292
1615622662,1281,1290
1615624599,1291,1301
1615626493,1285,1295
1615630364,1250,1259
1615632248,1251,1261
1615634171,1262,1273
1615636118,1270,1282
1615638007,1293,1305
1615639930,1295,1307
1615644738,1265,1277
1615646649,1265,1276
1615648568,1263,1273
1615650496,1261,1272
1615652403,1263,1273
1615654571,1284,1295
1615656485,1285,1296
1615658437,1294,1306
1615662257,1304,1316
1615664179,1308,1321
1615666093,1302,1316
1615668006,1302,1317
1615669942,1307,1323
1615671846,1330,1346
1615673778,1334,1350
1615675704,1341,1357
1615677605,1341,1357
1615679527,1361,1377
1615681512,1353,1368
1615683376,1359,1378
1615685284,1379,1398
1615687215,1364,1387
1615689135,1360,1383
1615691053,1366,1387
1615692972,1360,1380
1615694901,1339,1359
1615696807,1336,1357
1615698723,1312,1334
1615700656,1314,1337
1615702563,1317,1340
1615704483,1304,1327
1615706435,1322,1345
1615708324,1333,1357
1615710246,1336,1361
1615712176,1326,1351
1615714084,1318,1342
1615716017,1356,1380
1615717935,1349,1374
1615719862,1348,1370
1615723690,1329,1351
1615725607,1329,1352
1615727539,1326,1349
1615729447,1350,1374
1615731364,1356,1380
1615733288,1364,1386
1615735206,1370,1392
1615737141,1372,1396
1615739046,1363,1388
1615740978,1350,1374
1615742898,1360,1384
1615744815,1381,1406
1615746725,1370,1395
1615748664,1365,1388
1615750564,1380,1404
1615752729,1357,1383
1615754648,1363,1388
1615756576,1358,1385
1615758486,1333,1360
1615760406,1331,1359
1615762337,1327,1353
1615764247,1335,1360
1615766166,1329,1354
1615768087,1333,1357
1615770015,1334,1356
1615771936,1334,1355
1615773853,1321,1341
1615775766,1343,1365
1615777699,1336,1357
1615779607,1347,1371
1615783459,1323,1347
1615785364,1329,1353
1615787285,1329,1355
1615791129,1302,1327
1615793058,1317,1343
1615794967,1318,1342
1615796891,1322,1345
1615798837,1332,1355
1615800740,1342,1366
1615802658,1330,1353
1615804582,1336,1360
1615806486,1322,1346
1615808406,1355,1380
1615812257,1327,1349
1615814189,1329,1353
1615816100,1333,1357
1615818007,1331,1355
1615819925,1334,1357
1615821861,1342,1365
1615823767,1346,1368
1615825685,1349,1370
1615827628,1344,1368
1615829525,1328,1355
1615831465,1324,1349
1615833366,1331,1357
1615835285,1324,1349
1615837218,1332,1357
1615839124,1347,1373
1615841045,1354,1379
1615842977,1324,1348
1615844886,1347,1371
1615846814,1316,1340
1615848739,1328,1353
1615850650,1327,1352
1615852578,1319,1345
1615854484,1343,1370
1615856417,1297,1325
1615858331,1326,1356
1615860268,1304,1334
1615862166,1327,1357
1615864090,1313,1340
1615866017,1285,1310
1615867928,1313,1341
